chr	start	end	motif	sampleID	gene	location	region	gene_type	gene_distance	id	gerp	TAD	eSTR	opReg	tissue_simple	promoter	UTR_3	UTR_5	loeuf	pLi	RAD21	SMC3	per_g	per_c	per_a	per_t	gc_content	eSh0	eSh1	eSh2	eSh3	eSh4	eSh5	eTr0	eTr1	eTr2	eTr3	eTr4	eTr5	eH	eW	eS6	eS	J	eX0	eX1R	eX2	eX3	eX4	eX5	tissue_simple_No_expression	tissue_simple_Nervous_System	tissue_simple_Other	region_intergenic	region_intron	region_exon	location_First	location_Middle	location_Last	SVM	XGB	ensembleScore	ensembleMax	ensembleBinary
chr1	36332537	36332538	AC	1	intergenic	intergenic	intergenic	intergenic	2872	chr1_36332537_36332538_AC_1	0	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00262060076375709	8.94791e-06	0.00262954867367588	0.00262060076375709	0
chr10	126572947	126572948	AAAT	1	intergenic	intergenic	intergenic	intergenic	47709	chr10_126572947_126572948_AAAT_1	0.02	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	1	0	0	1	0	0	0	0	0	0.00560577257872778	2.2290418e-05	0.00562806299692879	0.00560577257872778	0
chr11	48022902	48022903	AC	1	PTPRJ	First	intron	protein_coding 	0	chr11_48022902_48022903_AC_1	0	0	0	0	Other	0	0	0	0.63	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	0	1	0	1	0	1	0	0	0.0295707036507742	5.8823596e-05	0.0296295272469656	0.0295707036507742	0
chr12	116727929	116727930	AAAT	1	intergenic	intergenic	intergenic	intergenic	12939	chr12_116727929_116727930_AAAT_1	-0.118	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	1	0	0	1	0	0	0	0	0	0.00540475683991391	4.5475185e-06	0.00540930435844276	0.00540475683991391	0
chr12	67507149	67507150	AC	1	intergenic	intergenic	intergenic	intergenic	155912	chr12_67507149_67507150_AC_1	-1.08	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00183975682728982	1.6254842e-05	0.00185601166948385	0.00183975682728982	0
chr13	107302951	107302952	AGAT	1	intergenic	intergenic	intergenic	intergenic	3277	chr13_107302951_107302952_AGAT_1	0.235	0	0	0	No_expression	0	0	0	9	0	0	0	25	0	50	25	25	3.71	3.71	3.71	3.71	3.71	3.71	41	0	10.69	2.05	5.63	2.64	135.42	11480	4111.3	87074	0.3	21.02	20.45	19.48	18.48	17.48	16.48	1	0	0	1	0	0	0	0	0	0.00405338843081991	0.0008375084	0.00489089684522624	0.00405338843081991	0
chr13	44344823	44344824	AC	1	ENOX1	First	intron	protein_coding 	0	chr13_44344823_44344824_AC_1	-3.285	0	0	0	Other	0	0	0	0.65	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	0	1	0	1	0	1	0	0	0.016122758610176	0.00010685525	0.0162296138621187	0.016122758610176	0
chr13	46405315	46405316	AAAT	1	SIAH3	First	intron	protein_coding 	0	chr13_46405315_46405316_AAAT_1	-0.263	0	0	0	Nervous_System	0	0	0	1.59	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	0	1	0	0	1	0	1	0	0	0.0184123036242459	5.2750776e-05	0.0184650544006222	0.0184123036242459	0
chr13	90118910	90118911	AGAT	1	intergenic	intergenic	intergenic	intergenic	82138	chr13_90118910_90118911_AGAT_1	-0.374	0	0	0	No_expression	0	0	0	9	0	0	0	25	0	50	25	25	3.71	3.71	3.71	3.71	3.71	3.71	41	0	10.69	2.05	5.63	2.64	135.42	11480	4111.3	87074	0.3	21.02	20.45	19.48	18.48	17.48	16.48	1	0	0	1	0	0	0	0	0	0.00333135091002125	0.00054503424	0.00387638515328083	0.00333135091002125	0
chr13	97885106	97885107	AC	1	MBNL2	First	intron	protein_coding 	0	chr13_97885106_97885107_AC_1	-1.265	0	0	0	Nervous_System	0	0	0	0.56	0.26	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	1	0	0	1	0	1	0	0	0.00839636287174877	0.00012918327	0.00852554614586049	0.00839636287174877	0
chr14	31541096	31541097	AAAT	1	AP4S1	Middle	intron	protein_coding 	0	chr14_31541096_31541097_AAAT_1	0	0	0	0	Other	0	0	0	1.63	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	0	0	1	0	1	0	0	1	0	0.0243850298717356	1.0482263e-05	0.0243955121346866	0.0243850298717356	0
chr17	73478606	73478607	ACAT	1	TMEM94	Middle	intron	Unknown	0	chr17_73478606_73478607_ACAT_1	0.13	0	0	0	No_expression	0	0	0	0.64	0	0	0	0	25	50	25	25	3.71	3.71	3.71	3.71	3.71	3.71	41	0	10.69	2.05	5.63	2.64	135.42	11480	4111.3	87074	0.3	21.02	20.45	19.48	18.48	17.48	16.48	1	0	0	0	1	0	0	1	0	0.00314145900080446	0.0015477305	0.00468918952862266	0.00314145900080446	0
chr2	113633916	113633917	AAAT	1	intergenic	intergenic	intergenic	intergenic	36632	chr2_113633916_113633917_AAAT_1	0.225	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	1	0	0	1	0	0	0	0	0	0.00586455779388243	0.00016953098	0.00603408877044612	0.00586455779388243	0
chr2	152735065	152735066	AC	1	CACNB4	Middle	intron	protein_coding 	0	chr2_152735065_152735066_AC_1	0.149	0	0	1	Nervous_System	0	0	0	0.49	0.03	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	1	0	0	1	0	0	1	0	0.0117069832417229	0.034675296	0.04638227963774	0.0346752963960171	0
chr2	242792876	242792877	AGC	1	PDCD1	Last	exon	protein_coding 	0	chr2_242792876_242792877_AGC_1	0	0	0	0	Other	0	1	0	0.66	0.42	0	0	33.33	33.33	33.33	0	66.67	3.43	3.43	3.43	3.43	3.43	3.43	31	0	8.19	0.29	5.75	0.36	93.84	4960	2794.9	37004	0.39	16.02	15.45	14.48	13.48	12.48	11.48	0	0	1	0	0	1	0	0	1	0.954147510852703	0.7694672	1.72361468585957	0.954147510852703	1
chr2	56097779	56097780	AAC	1	EFEMP1	Last	intron	protein_coding 	0	chr2_56097779_56097780_AAC_1	0.112	0	0	0	Other	0	0	0	0.15	1	0	0	0	33.33	66.67	0	33.33	3.43	3.42	3.42	3.42	3.42	3.42	31	0	9.94	1.5	6.08	2.14	93.84	4960	1928.59	30658	0.4	17.72	15.39	12.65	10.58	8.75	7.23	0	0	1	0	1	0	0	0	1	0.00154165807138039	0.06158814	0.0631297964132841	0.0615881383419037	0
chr20	47965061	47965062	AC	1	intergenic	intergenic	intergenic	intergenic	15362	chr20_47965061_47965062_AC_1	-0.416	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00218201496639033	1.6254842e-05	0.00219826980858436	0.00218201496639033	0
chr3	138832967	138832968	AC	1	BPESC1	Last	intron	lincRNA 	0	chr3_138832967_138832968_AC_1	0.566	0	0	0	Other	0	0	0	0.89	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	0	1	0	1	0	0	0	1	0.0111921704853568	0.007066391	0.0182585614281389	0.0111921704853568	0
